# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.has.same.entities.ms,1787998616899000000,1787998638991000000,0
FilePageCache.maxRegisteredFiles,1787998616899000000,1787998638991000000,200
DirectByteBufferAllocator.hits,1787998616899000000,1787998638991000000,3
FilePageCache.totalPageDisposalsUs,1787998616899000000,1787998638991000000,335
FilePageCache.maxCacheSizeInBytes,1787998616899000000,1787998638991000000,131072000
DirectByteBufferAllocator.misses,1787998616899000000,1787998638991000000,125
FilePageCache.disposedBuffers,1787998616899000000,1787998638991000000,128
StorageLockContext.competingThreads.90P,1787998616899000000,1787998638991000000,0
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1787998616899000000,1787998638991000000,0
FilePageCache.pageFastCacheHits,1787998616899000000,1787998638991000000,69685
FileChannelInterruptsRetryer.totalRetriedAttempts,1787998616899000000,1787998638991000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787998616899000000,1787998638991000000,41943040
FilePageCache.pageLoads,1787998616899000000,1787998638991000000,128
FilePageCache.WAL.bytesQueued,1787998616899000000,1787998638991000000,2072277
FilePageCache.totalPageStoresUs,1787998616899000000,1787998638991000000,2749
FilePageCache.pageLoadsAboveSizeThreshold,1787998616899000000,1787998638991000000,0
FilePageCache.WAL.entriesFlushedOnForce,1787998616899000000,1787998638991000000,0
DirectByteBufferAllocator.reclaimed,1787998616899000000,1787998638991000000,43
FilePageCache.uncachedFileAccess,1787998616899000000,1787998638991000000,311
StorageLockContext.competingThreads.avg,1787998616899000000,1787998638991000000,0.0
StorageLockContext.competingThreads.max,1787998616899000000,1787998638991000000,0
FilePageCache.WAL.entriesFlushedOnRead,1787998616899000000,1787998638991000000,2
FilePageCache.capacityInBytes,1787998616899000000,1787998638991000000,629145600
FilePageCache.pageHits,1787998616899000000,1787998638991000000,0
FilePageCache.WAL.entriesFlushedOnClose,1787998616899000000,1787998638991000000,0
FilePageCache.WAL.entriesFlushedOnTruncate,1787998616899000000,1787998638991000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787998616899000000,1787998638991000000,41943040
FilePageCache.totalBytesStored,1787998616899000000,1787998638991000000,2114312
FilePageCache.totalPageLoadsUs,1787998616899000000,1787998638991000000,50150
DirectByteBufferAllocator.disposed,1787998616899000000,1787998638991000000,85
FilePageCache.WAL.entriesFlushed,1787998616899000000,1787998638991000000,251
FilePageCache.WAL.flushesForcedByOverflow,1787998616899000000,1787998638991000000,0
MEM.fileMappingsRamBytes,1787998616899000000,1787998638991000000,464683008
JVM.GC.collectionTimesMs,1787998616899000000,1787998638991000000,164
JVM.GC.collections,1787998616899000000,1787998638991000000,39
JVM.totalTimeToSafepointsMs,1787998616899000000,1787998638991000000,124
JVM.totalTimeAtSafepointsMs,1787998616899000000,1787998638991000000,184
JVM.maxHeapBytes,1787998616899000000,1787998638991000000,45466255360
JVM.totalDirectByteBuffersBytes,1787998616899000000,1787998638991000000,46252040
JVM.committedHeapBytes,1787998616899000000,1787998638991000000,1207959552
JVM.totalBytesAllocated,1787998616899000000,1787998638991000000,5339931136
MEM.ramBytes,1787998616899000000,1787998638991000000,2289549312
MEM.ramMinusFileMappingsBytes,1787998616899000000,1787998638991000000,1824866304
JVM.totalSafepointCount,1787998616899000000,1787998638991000000,205
OS.loadAverage,1787998616899000000,1787998638991000000,2.1513671875
JVM.usedHeapBytes,1787998616899000000,1787998638991000000,381415448
JVM.newThreadsCount,1787998616899000000,1787998638991000000,388
JVM.maxThreadCount,1787998616899000000,1787998638991000000,197
JVM.threadCount,1787998616899000000,1787998638991000000,137
JVM.usedNativeBytes,1787998616899000000,1787998638991000000,351414968
JVM.totalCpuTimeMs,1787998616899000000,1787998638991000000,95900
MEM.ramPlusSwapMinusFileMappingsBytes,1787998616899000000,1787998638991000000,1824866304
cacheStateStorage.set.counter,1787998616899000000,1787998638991000000,13
cacheStateStorage.get.duration,1787998616899000000,1787998638991000000,0
cacheStateStorage.set.duration,1787998616899000000,1787998638991000000,23
cacheStateStorage.get.counter,1787998616899000000,1787998638991000000,9
Indexing.writer_0.totalTimeSpentWritingMs,1787998616899000000,1787998638991000000,94
Indexes.allKeys.lookups,1787998616899000000,1787998638991000000,0
Indexes.stubs.lookupDurationAvgMs,1787998616899000000,1787998638991000000,0.0
Indexes.entries.lookupDuration90PMs,1787998616899000000,1787998638991000000,0.0
Indexing.cache.totalCacheEvicted,1787998616899000000,1787998638991000000,35477
Indexing.writer_2.totalTimeSpentWritingMs,1787998616899000000,1787998638991000000,97
Indexes.stubs.lookupDurationMaxMs,1787998616899000000,1787998638991000000,0.0
Indexes.entries.lookupDurationAvgMs,1787998616899000000,1787998638991000000,0.0
Indexes.stubs.lookupDuration90PMs,1787998616899000000,1787998638991000000,0.0
Indexes.allKeys.lookupDuration90PMs,1787998616899000000,1787998638991000000,0.0
Indexing.writesQueuedMin,1787998616899000000,1787998638991000000,9223372036854775807
Indexing.totalTimeIndexersSleptMs,1787998616899000000,1787998638991000000,0
Indexes.allKeys.lookupDurationMaxMs,1787998616899000000,1787998638991000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1787998616899000000,1787998638991000000,0.0
Indexes.entries.lookupDurationMaxMs,1787998616899000000,1787998638991000000,0.0
