Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/data/project/python;1.64;100.00%;203;1955
/data/project/python/src/worktrees_hives;1.62;99.05%;203;1932
